pm10_standard,pm25_standard,pm100_standard,pm10_env,pm25_env,pm100_env,particles_03um,particles_05um,particles_10um,particles_25um,particles_50um,particles_100um,time
3,3,3,3,3,3,654,192,20,0,0,0,2021-01-05 11:05:03.834045
2,2,2,2,2,2,633,179,12,0,0,0,2021-01-05 11:06:03.820086
3,4,6,3,4,6,708,212,14,4,2,0,2021-01-05 11:07:03.834098
1,2,4,1,2,4,543,155,17,2,2,2,2021-01-05 11:08:03.780049
2,2,2,2,2,2,591,182,8,0,0,0,2021-01-05 11:09:03.834197
3,3,3,3,3,3,753,211,14,0,0,0,2021-01-05 11:10:03.834161
3,4,4,3,4,4,750,223,20,0,0,0,2021-01-05 11:11:03.785429
2,2,2,2,2,2,555,159,12,0,0,0,2021-01-05 11:12:03.834229
2,3,3,2,3,3,609,185,23,0,0,0,2021-01-05 11:13:03.834193
2,2,2,2,2,2,534,162,23,0,0,0,2021-01-05 11:14:03.834242
1,1,1,1,1,1,498,137,2,0,0,0,2021-01-05 11:15:03.834262
3,4,5,3,4,5,702,216,14,2,2,0,2021-01-05 11:16:03.780037
2,2,2,2,2,2,555,167,12,0,0,0,2021-01-05 11:17:03.834333
3,4,6,3,4,6,684,196,10,4,2,0,2021-01-05 11:18:03.775697
2,3,3,2,3,3,603,189,8,0,0,0,2021-01-05 11:19:03.820096
4,4,4,4,4,4,732,223,14,0,0,0,2021-01-05 11:20:03.780033
2,2,2,2,2,2,561,164,10,0,0,0,2021-01-05 11:21:03.834421
2,2,2,2,2,2,474,139,10,0,0,0,2021-01-05 11:22:03.834369
2,3,3,2,3,3,621,182,12,0,0,0,2021-01-05 11:23:03.834385
2,2,2,2,2,2,690,197,17,0,0,0,2021-01-05 11:24:03.780068
1,1,2,1,1,2,498,134,6,2,2,0,2021-01-05 11:25:03.834521
4,5,5,4,5,5,738,213,24,2,0,0,2021-01-05 11:26:03.834447
3,3,3,3,3,3,585,161,21,0,0,0,2021-01-05 11:27:03.834527
4,4,4,4,4,4,732,216,15,0,0,0,2021-01-05 11:28:03.780078
1,2,2,1,2,2,567,155,4,0,0,0,2021-01-05 11:29:03.834602
2,2,4,2,2,4,561,170,16,4,0,0,2021-01-05 11:30:03.834579
2,3,3,2,3,3,744,197,16,2,0,0,2021-01-05 11:31:03.834581
3,3,3,3,3,3,672,206,10,0,0,0,2021-01-05 11:32:03.780023
3,3,5,3,3,5,732,218,8,4,2,0,2021-01-05 11:33:03.834675
2,2,2,2,2,2,648,194,0,0,0,0,2021-01-05 11:34:03.834643
1,1,1,1,1,1,444,125,2,0,0,0,2021-01-05 11:35:03.793797
4,4,5,4,4,5,741,218,14,2,0,0,2021-01-05 11:36:03.780049
4,4,4,4,4,4,753,214,18,0,0,0,2021-01-05 11:37:03.834709
2,3,3,2,3,3,576,168,18,2,0,0,2021-01-05 11:38:03.780020
1,1,1,1,1,1,525,158,4,0,0,0,2021-01-05 11:39:03.834765
2,2,3,2,2,3,654,180,12,2,2,0,2021-01-05 11:40:03.780045
3,3,6,3,3,6,732,212,16,4,4,0,2021-01-05 11:41:03.834792
2,3,3,2,3,3,633,176,16,2,0,0,2021-01-05 11:42:03.834787
2,2,2,2,2,2,654,173,20,0,0,0,2021-01-05 11:43:03.780928
2,3,3,2,3,3,585,155,6,0,0,0,2021-01-05 11:44:03.780065
2,3,3,2,3,3,654,186,16,0,0,0,2021-01-05 11:45:03.780016
1,1,1,1,1,1,513,142,6,0,0,0,2021-01-05 11:46:03.834923
3,3,3,3,3,3,627,173,14,0,0,0,2021-01-05 11:47:03.834848
1,1,1,1,1,1,594,155,6,0,0,0,2021-01-05 11:48:03.780170
1,3,3,1,3,3,579,167,19,2,0,0,2021-01-05 11:49:03.834954
2,3,3,2,3,3,510,157,14,2,0,0,2021-01-05 11:50:03.834924
2,2,3,2,2,3,588,166,10,2,0,0,2021-01-05 11:51:03.801884
2,2,2,2,2,2,576,162,14,0,0,0,2021-01-05 11:52:03.780032
2,3,3,2,3,3,636,194,14,0,0,0,2021-01-05 11:53:03.815175
